ansatzbezeichnung;kontenbezeichnung;voranschlag-rj
Stadtvertretung;Bezüge der gewählten Organe;696000
Stadtvertretung;Reisegebühren;6100
Stadtvertretung;Sitzungsgelder;18400
Stadtvertretung;SV-Beiträge der gewählten Organe;22300
Stadtvertretung;Zuwendung für Ausbildungszwecke gewählter Organe;2000
Stadtvertretung;Sonstige Aufwendungen;5000
Stadtvertretung;Informationsveranstaltg.;3500
Stadtvertretung;Btg.Bgm.Pensionsfonds;275600
Gemeindeamt;Amtsausstattung;1000
Gemeindeamt;Kulturgüter beweglich;0
Gemeindeamt;Software;5000
Gemeindeamt;Geringwertige Wirtschaftsgüter;6000
Gemeindeamt;Gw.Ausrüstung und  Bekleidung;600
Gemeindeamt;Treibst.Pkw 1 VW Passat;1500
Gemeindeamt;Treibst.Pkw 5 Opel Corsa;600
Gemeindeamt;Treibst.Moped;100
Gemeindeamt;Treibst./Strom Elektro-Pkw;1400
Gemeindeamt;Schreib-, Zeichen- und sonstige Büromittel;4800
Gemeindeamt;Druckwerke;4000
Gemeindeamt;Druckwerke / Amtsbücherei;32000
Gemeindeamt;Feldkirch Aktuell;42000
Gemeindeamt;Geldbezüge der Beamten;183200
Gemeindeamt;Geldbezüge Angestellte;1373700
Gemeindeamt;Geldbezüge Arbeiter;28600
Gemeindeamt;Geldbezüge Lehrlinge/Vw.Praktikant;154200
Gemeindeamt;Geldbezüge Aushilfen;7600
Gemeindeamt;Reisegebühren;18300
Gemeindeamt;Sonst.Aufwandsentschä.;11200
Gemeindeamt;Mehrleistungsvergütung;59500
Gemeindeamt;Dienstjubiläen;28100
Gemeindeamt;Sonstige Nebengebühren;0
Gemeindeamt;DGB-Beamte;6200
Gemeindeamt;DGB-Angest.und Arbeit.;318300
Gemeindeamt;Kommunalsteuer;0
Gemeindeamt;Pensionskassa DG-Beitrag;12900
Gemeindeamt;Mitarbeitervorsorge (Abfertigung neu);17700
Gemeindeamt;Fla-Btg.f.Angest.u.Arb.;69500
Gemeindeamt;Sonst. Personalaufwand / Personalsuche;15000
Gemeindeamt;Instandhaltung von Fahrzeugen / P1 VW Passat;2600
Gemeindeamt;Instandhaltung von Fahrzeugen / P5 Opel Corsa;800
Gemeindeamt;Instandhaltung von Fahrzeugen / Moped;800
Gemeindeamt;Instandhaltung von Fahrzeugen / Elektro-Pkw;500
Gemeindeamt;Instandhaltung von Fahrzeugen / Fahrräder;2500
Gemeindeamt;Instandhaltung von sonstigen Anlagen;1500
Gemeindeamt;Postdienste;110000
Gemeindeamt;Telekommunikationsdienste;56500
Gemeindeamt;Rechts- und Beratungsaufwand;16000
Gemeindeamt;Beratungskosten;20000
Gemeindeamt;Versicherungen;900
Gemeindeamt;Vers.Allg.Haftpflicht;14500
Gemeindeamt;Versicherungen Kfz;1800
Gemeindeamt;Vers.Pkw 1 VW Passat;1200
Gemeindeamt;Vers.Pkw 5 Opel Corsa;400
Gemeindeamt;Vers. Elektro-Pkw;1000
Gemeindeamt;Miete für Kopiergerät  und Kopien;28500
Gemeindeamt;Leasing Kfz;3200
Gemeindeamt;Öffentliche Abgaben Pkw 1 VW Passat;700
Gemeindeamt;Öffentliche Abgaben Pkw 5 Opel Corsa;300
Gemeindeamt;Öffentliche Abgaben E-PKW Renault Zoe;100
Gemeindeamt;Maßnahmen gegen Arbeitslosigkeit;1000
Gemeindeamt;Allg. Presseaufwand;150800
Gemeindeamt;Innerbetriebliches Mobilitätsmanagement;10600
Gemeindeamt;Arbeitnehmerschutz;5000
Gemeindeamt;Sonstige Leistungen;3000
Gemeindeamt;DV-Programme;105100
Gemeindeamt;Sonstige Aufwendungen / Umsiedlungen;1000
Bürgerservicestelle;Gw. Wg. des Anlagevermögens;500
Bürgerservicestelle;Schreib-und Büromittel;3600
Bürgerservicestelle;Druckwerke;1000
Bürgerservicestelle;Geldbezüge Angestellte;432200
Bürgerservicestelle;Geldbezüge Aushilfen;4100
Bürgerservicestelle;Reisegebühren;3700
Bürgerservicestelle;Sonst.Aufwandsentschä.;4400
Bürgerservicestelle;Mehrleistungsvergütung;8000
Bürgerservicestelle;Dgb-Angest.und Arbeit.;90200
Bürgerservicestelle;Pensionskassa DG-Beitrag;3800
Bürgerservicestelle;Mitarbeitervorsorge (Abfertigung neu);4600
Bürgerservicestelle;Fla-Btg.F.Angest.U.Arb;17600
Bürgerservicestelle;Instandh. Einrichtung;500
Bürgerservicestelle;Amtspauschalien und Repräsentationsaufwendungen;1200
Bürgerservicestelle;Sonstige Ausgaben;800
Elektronische Datenverarbeitung;Amtsausstattung;46600
Elektronische Datenverarbeitung;Geringwertige Wirtschaftsgüter;11500
Elektronische Datenverarbeitung;Geldbezüge Angestellte;227400
Elektronische Datenverarbeitung;Reisegebühren;2500
Elektronische Datenverarbeitung;Mehrleistungsvergütung;4800
Elektronische Datenverarbeitung;Dgb-Angest.Und Arbeit.;46400
Elektronische Datenverarbeitung;Pensionskassa DG-Beitrag;1900
Elektronische Datenverarbeitung;Mitarbeitervorsorge (Abfertigung neu);3600
Elektronische Datenverarbeitung;Fla-Btg.F.Angest.U.Arb;9100
Elektronische Datenverarbeitung;Instandhaltung von sonstigen Anlagen;1000
Elektronische Datenverarbeitung;Telekommunikationsdienste / Datennetz;71000
Elektronische Datenverarbeitung;Versicherungen;1000
Elektronische Datenverarbeitung;Entgelte für sonstige Leistungen;4000
Elektronische Datenverarbeitung;Kostenbeitrag  Gemeinderechenz.;241100
Elektronische Datenverarbeitung;Dv-Programme;95000
Elektronische Datenverarbeitung;Dv-Programme / Weiterverrechnung;0
Elektronische Datenverarbeitung;Sonstige Aufwendungen;200
Repräsentationskosten;Amtspauschalien und Repräsentationsaufwendungen;58000
Repräsentationskosten;Ehrengaben;20000
Repräsentationskosten;Aufwand Festlichkeiten;33000
Standesamt;Btg. an Verband;156300
Wahlamt;Allgemeiner Aufwand;70000
Staatsbürgerschaft;Btg. an Verband;32600
Amtsgebäude Schmiedgasse 1-5;Amtsausstattung;3000
